ID,Title,Synonyms,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
41619,Munou na Nana,Unknown,無能なナナ,Talentless Nana,"Fifty years ago, horrific creatures dubbed as the ""enemies of humanity"" suddenly appeared around the world. To combat these threats, teenagers gifted with supernatural abilities called ""Talents""—such as pyrokinesis and time travel—hone their powers at an academy on a secluded island. 

Nanao Nakajima, however, is quite different from the others on the island: he has no Talent. With many ""Talented"" teenagers around him, Nanao is often a target for bullying, but even so, he still strives to complete his training. Soon after, two transfer students, the mysterious Kyouya Onodera and the mind-reading Nana Hiiragi, join the class. But just as everyone starts blending as comrades-in-arms, mysterious disappearances begin to threaten the class's entire foundation.

[Written by MAL Rewrite]",TV,13,Finished Airing,"Oct 4, 2020","Dec 27, 2020",Fall 2020,Sundays at 2130 (JST),"Square Enix, AT-X, Nippon Columbia, BS Fuji, Hakuhodo DY Music & Pictures, Docomo Anime Store, Yomiuri TV Enterprise, Kanon Sound, NichiNare, Kadokawa, Show Corporation","Funimation, Muse Communication",Bridge,Manga,"Supernatural, Suspense","Psychological, Super Power",Shounen,R - 17+ (violence & profanity),7.191,140069,30322,725,280934,1391
15085,Amnesia,Unknown,AMNESIA,Amnesia,"After fainting at work, a young lady awakens in the back room of the café she works at with no memory of her life or those around her. Two of her friends, whom she soon learns are named Shin and Toma, are called to help her get home safely. Once she is alone, she meets a spectral boy named Orion that only she can see and hear. He explains that she lost her memories because of his chance visit to her world, so he vows to help her remember who she is.

However, regaining her departed memories without worrying those around her may be more difficult than she realizes. In addition to the gloomy Shin and the protective Toma, she must be wary of arousing the suspicions of the captivating Ikki, the quick-witted Kent, and a mysterious man who lurks in the distance. As her amnesia entangles her in the lives of each of these men, her fragmented memories return piece by piece, and the mysteries of her circumstances slowly come to light.

[Written by MAL Rewrite]",TV,12,Finished Airing,"Jan 7, 2013","Mar 25, 2013",Winter 2013,Unknown,"Geneon Universal Entertainment, Frontier Works, Movic, AT-X, DAX Production, Showgate",Sentai Filmworks,Brain's Base,Visual novel,"Fantasy, Mystery, Romance",Reverse Harem,Unknown,PG-13 - Teens 13 or older,6.001,142545,90752,726,280627,979
10213,Maji de Watashi ni Koi Shinasai!,"Love Me, Seriously!!",真剣で私に恋しなさい！,Majikoi Oh! Samurai Girls,"The samurai are a very important part of Japan's history, and to be related to them in any way is probably one of the most inspiring things that a young high school student could hope for.

Kawakami City is well-known for having many samurai ancestors among its citizens, and is generally surrounded by an atmosphere of fighting spirit, loyalty, and dedication to work. In Maji de Watashi ni Koi Shinasai!, the students of Kawakami Academy use this knowledge on a daily basis, whether they are studying for exams, competing in sports competitions, or making sure that they take very good care of their traditions. Yamato Naoe is one such student, and his six closest friends (three boys and three girls) make up the perfect team for friendship, rivalry, and motivation. However, even samurai have weaknesses.

Although the balance and long friendship of their group has been undisturbed for a long time, when two new girls enter the group, things start to get a lot more interesting. Not only must they maintain what they think is the samurai tradition, but they must now also do it with a lot of ""distractions.""",TV,12,Finished Airing,"Oct 2, 2011","Dec 18, 2011",Fall 2011,Sundays at 0100 (JST),Unknown,Sentai Filmworks,Lerche,Visual novel,"Comedy, Romance, Ecchi","Harem, Martial Arts, School, Super Power",Unknown,R+ - Mild Nudity,6.691,121944,53252,727,280620,611
12467,Nazo no Kanojo X,MGX,謎の彼女X,Mysterious Girlfriend X,"First encounters are always memorable because regardless of the outcome, new experiences are sure to happen. For Akira Tsubaki, a young boy who knows next to nothing about girls, and new transfer student Mikoto Urabe, a mysterious girl who wears a cold facade, their first encounter takes a turn for the romantic.

Through a series of strange events, Tsubaki suddenly falls in love with Urabe, and together they develop a curious bond. Thus begins the romance and mystery of Urabe, a girl who seems to have a unique way of expressing her emotions.

[Written by MAL Rewrite]",TV,13,Finished Airing,"Apr 8, 2012","Jul 1, 2012",Spring 2012,Unknown,"Starchild Records, Kodansha, Yomiuri Advertising, Atelier Musa",Sentai Filmworks,Hoods Entertainment,Manga,Romance,School,Seinen,R - 17+ (violence & profanity),7.251,133432,26992,728,280545,2783
8086,Densetsu no Yuusha no Densetsu,"DenYuDen, DenYuuDen, Densetsu no Yusha no Densetsu, LOLH",伝説の勇者の伝説,The Legend of the Legendary Heroes,"""Alpha Stigma"" are known to be eyes that can analyze all types of magic. However, they are more infamously known as cursed eyes that can only bring destruction and death to others.

Ryner Lute, a talented mage and also an Alpha Stigma bearer, was once a student of the Roland Empire's Magician Academy, an elite school dedicated to training magicians for military purposes. However, after many of his classmates died in a war, he makes an oath to make the nation a more orderly and peaceful place, with fellow survivor and best friend, Sion Astal.

Now that Sion is the the king of Roland, he orders Ryner to search for useful relics that will aid the nation. Together with Ferris Eris, a beautiful and highly skilled swordswoman, Ryner goes on a journey to search for relics of legendary heroes from the past, and also uncover the secrets behind his cursed eyes.

[Written by MAL Rewrite]",TV,24,Finished Airing,"Jul 2, 2010","Dec 17, 2010",Summer 2010,Unknown,"Lantis, Media Factory, Kadokawa Contents Gate, Fujimi Shobo",Funimation,Zexcs,Light novel,"Action, Adventure, Fantasy",Unknown,Shounen,R - 17+ (violence & profanity),7.531,131150,15832,729,280226,1945
6211,Tokyo Magnitude 8.0,Unknown,東京マグニチュード8.0,Tokyo Magnitude 8.0,"Middle school student Mirai Onozawa is dissatisfied with her family circumstances and, in a moment of frustration, wishes to tear everything apart. Unfortunately, these destructive thoughts seem to come true in the form of a magnitude 8.0 earthquake just a few moments later.

When summer vacation begins, Mirai reluctantly takes her younger brother Yuuki to Odaiba, where a robot exhibition that he wanted to go to is being held. However, while they are in the exhibition center, the fury of a major earthquake shakes the Kanto region; helpless, both kids witness the devastating power of this natural disaster as it brings the city to its knees.

In its aftermath, they stumble upon Mari Kusakabe, a motorcyclist and single mother who decides to help the young siblings. Aiming to return to their homes and reunite with their families, the group sets off on a long and hard journey through the decimated city.

[Written by MAL Rewrite]",TV,11,Finished Airing,"Jul 10, 2009","Sep 18, 2009",Summer 2009,Fridays at 0045 (JST),"Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment, Sakura Create",Maiden Japan,"Bones, Kinema Citrus",Original,Drama,Unknown,Unknown,PG-13 - Teens 13 or older,8.021,118548,5372,730,280049,1713
40904,Bokutachi no Remake,Bokurema,ぼくたちのリメイク,Remake Our Life!,"Life is not going well for 28-year-old Kyouya Hashiba. Having left his office job to pursue a career in the video game industry, his internship at a popular game studio abruptly ends, leaving him unemployed and forcing him to move back in with his parents. Additionally, his jealousy toward the success of the ""Platinum Generation""—a group of similarly-aged creators—has caused him to regret his decision to attend a traditional university instead of an arts college. Even though he believes there are no second chances in life, Kyouya is suddenly given one when he wakes up one day and finds himself 10 years in the past.

Instead of choosing business school like he originally had, Kyouya decides to pursue his passions and attends the Oonaka University of Art. There, he meets classmate Eiko Kawasegawa, the woman who had hired him as an intern in the present, alongside his new housemates and future Platinum Generation members: underachieving artist Aki Shino, aspiring singer and actress Nanako Kogure, and naturally-gifted writer Tsurayuki Rokuonji.

With each project they complete together, Kyouya and his friends venture closer to discovering their true potential as creators and remaking their lives into the ideal versions they desire.

[Written by MAL Rewrite]",TV,12,Finished Airing,"Jul 3, 2021","Sep 25, 2021",Summer 2021,Saturdays at 2130 (JST),"Studio Mausu, bilibili, Bushiroad Music, DMM pictures, Front Wing, Bushiroad Move",Unknown,feel.,Light novel,"Drama, Romance, Slice of Life",Time Travel,Unknown,PG-13 - Teens 13 or older,7.431,127886,19112,731,279666,2188
39710,Yesterday wo Utatte,Unknown,イエスタデイをうたって,"Sing ""Yesterday"" for Me","Rikuo Uozumi has all but resigned himself to a bleak future, aimlessly working at a convenience store in Tokyo after graduating from college. His monotonous life is interrupted when the peculiar Haru Nonaka makes a lively appearance, frequently dropping by his workplace to befriend him. When Rikuo learns that an old college friend and crush, Shinako Morinome, has moved back into town, he reaches out to further their relationship. Unbeknownst to Rikuo however, Shinako is carrying painful memories from her past that were holding her back from accepting his feelings. Meanwhile, as Haru continually opens up to Rikuo, he discovers that she, much like him, is living by herself and wants to step out of her comfort zone into an uncertain future.

The past lingers long in the mind, and the future remains elusive. At a crossroads along their intertwined paths, these three experience what it means to let go of their feelings of yesterday and embrace the change that tomorrow brings.

[Written by MAL Rewrite]
",TV,12,Finished Airing,"Apr 5, 2020","Jun 21, 2020",Spring 2020,Sundays at 0130 (JST),"TV Asahi, Sotsu, Delfi Sound, Lucent Pictures Entertainment, CyberAgent, AbemaTV, DMM.futureworks",Unknown,Doga Kobo,Manga,"Drama, Romance, Slice of Life",Love Polygon,Seinen,PG-13 - Teens 13 or older,6.891,129445,43762,732,279631,1185
41488,Tensura Nikki: Tensei shitara Slime Datta Ken,Unknown,転スラ日記 転生したらスライムだった件,The Slime Diaries That Time I Got Reincarnated as a Slime,"In between slaying monsters and negotiating with neighboring countries, Rimuru Tempest has his hands full attending to his kingdom alongside day-to-day matters. But whether it's expanding the farms in the summer heat or shoveling snow in the chilly winter, no task is too big for Rimuru and his friends!

[Written by MAL Rewrite]
",TV,12,Finished Airing,"Apr 6, 2021","Jun 22, 2021",Spring 2021,Tuesdays at 2300 (JST),"Lantis, Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions",Unknown,8bit,Manga,"Comedy, Fantasy, Slice of Life","Isekai, Reincarnation",Shounen,PG-13 - Teens 13 or older,7.581,118231,13962,733,279289,1923
34279,Grancrest Senki,Unknown,グランクレスト戦記,Record of Grancrest War,"The continent of Atlatan once again finds itself devoured by the flames of war after a horrific event known as the Great Hall Tragedy. What was supposed to be a joyful occasion that would establish peace between the Fantasia Union and the Factory Alliance, the marriage of Sir Alexis Douse and Lady Marrine Kreische, was instead a tragedy. As the bride and groom walked down the aisle, the ceremony was suddenly interrupted by a powerful convergence of ""Chaos,"" a dark energy from another dimension that corrupts the land and brings forth monsters and demons into the world. From within that energy appeared the Demon Lord of Diabolos, an evil being who instantly murdered the archdukes of both factions, shattering any hope for peace between them.

Having failed to prevent this disaster, Siluca Meletes, an Alliance mage, is traveling through the Chaos-infested countryside to study under a master magician. When she is intercepted by a group of soldiers working with the Federation, Siluca is rescued by Theo Cornaro, a young warrior carrying a mysterious ""Crest,"" a magical symbol that gives its wielder the ability to banish Chaos. Bearing no allegiance to a specific domain, Theo hopes to attain the rank of Lord so that he can liberate his home town of Sistina from its tyrannical ruler and the Chaos spreading within it. Impressed by his noble goal, Siluca enters into a magical contract with Theo, and the two embark on a journey to restore balance to their war-torn land.

[Written by MAL Rewrite]
",TV,24,Finished Airing,"Jan 6, 2018","Jun 23, 2018",Winter 2018,Saturdays at 0000 (JST),"Aniplex, Bandai Namco Entertainment, Good Smile Company, BS11, ABC Animation, Kinoshita Group Holdings, Kadokawa, Cromea, Sonilude",Aniplex of America,A-1 Pictures,Light novel,"Action, Drama, Fantasy, Romance",Unknown,Unknown,R - 17+ (violence & profanity),7.221,120840,28522,734,278881,1173
